epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.11019,1.56128,3.75996,1.30367,0.00327,0.25556,0.00338,0.00195,1.15088,3.839,1.24136,0,0,0
2,2.17322,2.32939,3.91824,1.61527,0.00415,0.35556,0.00441,0.00247,1.08052,3.80253,1.20765,1.656e-05,1.656e-05,1.656e-05
3,3.23508,1.96147,3.78452,1.48585,0.00325,0.25556,0.0042,0.00291,1.0296,3.72777,1.16772,3.28999e-05,3.28999e-05,3.28999e-05
4,4.29772,1.78153,3.91416,1.42595,0.00417,0.35556,0.00675,0.0043,0.86764,3.64351,1.08239,4.90198e-05,4.90198e-05,4.90198e-05
5,5.37629,1.69556,3.75814,1.29431,0.00779,0.56667,0.01168,0.00833,0.80679,3.56519,1.0401,6.49196e-05,6.49196e-05,6.49196e-05
6,6.43768,1.32137,3.20013,1.15688,0.00779,0.56667,0.03171,0.0252,0.87091,3.53684,1.00514,8.05995e-05,8.05995e-05,8.05995e-05
7,7.50033,0.91212,3.53105,1.10636,0.01034,0.67778,0.06856,0.0616,0.96499,3.47594,0.97765,9.60592e-05,9.60592e-05,9.60592e-05
8,8.57878,1.1135,3.3485,1.15596,0.01302,0.78889,0.16623,0.06902,1.06216,3.44526,0.96712,0.000111299,0.000111299,0.000111299
9,9.70419,0.90159,3.24174,1.07666,0.01509,0.94444,0.15961,0.09921,1.06122,3.41135,0.96582,0.000126319,0.000126319,0.000126319
10,10.7981,0.7539,2.81011,0.98418,0.01508,0.9,0.16951,0.11553,1.03037,3.35968,0.94303,0.000141118,0.000141118,0.000141118
11,11.8602,1.21031,3.0078,1.17456,0.01463,0.94444,0.18467,0.12929,1.008,3.32769,0.94362,0.000155698,0.000155698,0.000155698
12,12.9222,0.76503,2.79038,0.95283,0.01569,1,0.1673,0.11274,0.85034,3.30691,0.9421,0.000170057,0.000170057,0.000170057
13,13.9857,0.95511,2.98761,1.06127,0.01551,1,0.16794,0.11546,0.74745,3.24943,0.93363,0.000184197,0.000184197,0.000184197
14,15.0482,1.10283,2.38963,1.10706,0.01537,1,0.15083,0.10543,0.79231,3.1951,0.94721,0.000198116,0.000198116,0.000198116
15,16.1109,0.74161,1.91769,0.98233,0.01315,0.84444,0.15159,0.09012,0.87337,3.1284,0.98438,0.000211816,0.000211816,0.000211816
16,17.173,1.4115,2.29634,1.09848,1,0.11044,0.14595,0.07923,0.99154,3.07255,1.05251,0.000225295,0.000225295,0.000225295
17,18.2194,0.94308,1.50242,0.97172,0.84346,0.05556,0.14373,0.07594,1.10343,3.00043,1.12266,0.000238554,0.000238554,0.000238554
18,19.2359,0.96716,1.65659,0.90956,0.84346,0.05556,0.14373,0.07594,1.10343,3.00043,1.12266,0.000251594,0.000251594,0.000251594
19,20.2975,1.16549,1.74173,0.99135,1,0.10401,0.26516,0.15211,1.23224,2.91083,1.14306,0.000264413,0.000264413,0.000264413
20,21.3516,0.96747,1.90098,0.96282,1,0.10401,0.26516,0.15211,1.23224,2.91083,1.14306,0.000277012,0.000277012,0.000277012
21,22.4384,0.77042,1.65275,0.94928,0.88288,0.11111,0.49036,0.31715,1.23654,2.84723,1.11829,0.000289391,0.000289391,0.000289391
22,23.4699,1.03944,1.49668,1.08756,0.88288,0.11111,0.49036,0.31715,1.23654,2.84723,1.11829,0.00030155,0.00030155,0.00030155
23,24.5493,0.90663,1.54966,1.01193,0.8076,0.11111,0.61937,0.46065,1.08706,2.76772,1.05685,0.000313489,0.000313489,0.000313489
24,25.5944,0.87261,1.45126,0.95298,0.8076,0.11111,0.61937,0.46065,1.08706,2.76772,1.05685,0.000325208,0.000325208,0.000325208
25,26.688,0.88043,1.55437,0.98616,0.83619,0.11111,0.57652,0.44327,0.97929,2.74515,0.97646,0.000336707,0.000336707,0.000336707
26,27.7825,0.78602,1.48664,0.87873,0.83619,0.11111,0.57652,0.44327,0.97929,2.74515,0.97646,0.000347986,0.000347986,0.000347986
27,28.8465,0.63731,1.53702,0.94845,0.70347,0.11111,0.53788,0.44308,0.80514,2.80696,0.94946,0.000359045,0.000359045,0.000359045
28,29.8755,1.00726,1.45609,0.88872,0.70347,0.11111,0.53788,0.44308,0.80514,2.80696,0.94946,0.000369884,0.000369884,0.000369884
29,30.9387,0.86785,1.37361,0.89187,0.01523,1,0.51512,0.4307,0.76726,2.87362,0.96889,0.000380503,0.000380503,0.000380503
30,31.9539,1.19177,1.58711,1.17918,0.01523,1,0.51512,0.4307,0.76726,2.87362,0.96889,0.000390901,0.000390901,0.000390901
31,33.0166,1.31425,1.409,0.99624,0.01525,1,0.5606,0.462,0.75487,2.92073,0.96247,0.00040108,0.00040108,0.00040108
32,34.0478,0.78781,1.34622,1.00534,0.01525,1,0.5606,0.462,0.75487,2.92073,0.96247,0.000411039,0.000411039,0.000411039
33,35.1103,0.70077,1.15218,0.92599,0.01528,1,0.51224,0.43828,0.75066,2.91334,0.95211,0.000420777,0.000420777,0.000420777
34,36.1579,0.81517,1.30117,0.967,0.01528,1,0.51224,0.43828,0.75066,2.91334,0.95211,0.000430296,0.000430296,0.000430296
35,37.2042,0.61215,1.38295,0.92895,0.01528,1,0.55918,0.45264,0.77252,2.83002,0.94265,0.000439595,0.000439595,0.000439595
36,38.2353,0.65532,1.14626,0.948,0.01528,1,0.55918,0.45264,0.77252,2.83002,0.94265,0.000448673,0.000448673,0.000448673
37,39.3138,0.6883,1.20511,0.96908,1,0.13397,0.65955,0.52551,0.76663,2.7805,0.93054,0.000457531,0.000457531,0.000457531
38,40.3597,0.65724,1.2516,0.98318,1,0.13397,0.65955,0.52551,0.76663,2.7805,0.93054,0.00046617,0.00046617,0.00046617
39,41.4389,0.65734,1.27771,0.97115,1,0.10311,0.6773,0.52234,0.76416,2.74856,0.93395,0.000474588,0.000474588,0.000474588
40,42.4538,0.94378,1.0546,0.98455,1,0.10311,0.6773,0.52234,0.76416,2.74856,0.93395,0.000482787,0.000482787,0.000482787
